service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Cloud Run,CPU Allocation Time (tier 2),37500000,global,152E-C115-5142,085C-A237-027A,1.26,
Cloud Run,Memory Allocation Time (tier 2),18750000,global,152E-C115-5142,600C-3782-6708,0.06562,
Cloud Run,Requests,10000000,global,152E-C115-5142,2DA5-55D3-E679,3.2,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - Micro instance in Jakarta,730.0,asia-southeast2,9662-B51E-5089,7FB4-4536-69D4,10.001,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - Standard storage in Jakarta,7300.0,asia-southeast2,9662-B51E-5089,E969-FD43-DE2D,2.21,
Standard Environment (App Engine),Backend Instances Jakarta,1.0,asia-southeast2,F17B-412E-CB64,2595-C04A-4198,31.07062,
Standard Environment (App Engine),Out Bandwidth Jakarta,10.0,asia-southeast2,F17B-412E-CB64,8CC4-DAE0-9C1F,0,
Cloud Storage  (Cloud Storage),Standard Storage Jakarta,500.0,asia-southeast2,95FF-2EF5-5EA1,DB0A-37C5-4E19,11.5,
,,,,,,,
,,,,,Total Price:,59.30725,
,,,,,,,
"Prices are in US dollars, effective date is 2024-12-13T08:49:09.829Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVEzTTJFME5qa3hOaTFrWW1NNExUUXpPVGd0T1dSaU1DMHpZVGhtTVRJNFpEQXhPRGtRQVE9PRokOERBN0FENEMtQTc5Qy00NjE3LTlGNkItRDREQjRERDM4MEY5,,,,,,
