pertanyaan,jawaban
apa isi dari pasal 1 ayat (1) huruf 0,"isi dari pasal tersebut adalah: tidak ada satu perbuatan pun yang dapat dikenai sanksi pidana dan/atau tindakan, kecuali atas kekuatan peraturan pidana dalam peraturan perundang-undangan yang telah ada sebelum perbuatan dilakukan."
apa isi dari pasal 1 ayat (2) huruf 0,isi dari pasal tersebut adalah: dalarn menetapkan adanya tindak pidana dilarang digunakan analogi.
apa isi dari pasal 2 ayat (1) huruf 0,isi dari pasal tersebut adalah: ketentuan sebagaimana dimaksud dalam pasal 1 ayat (l) tidak mengurangi berlakunya hukum yang hidup dalam masyarakat yang menentukan bahwa seseorang patut dipidana walaupun perbuatan tersebut tidak diatur dalam undang-undang ini
apa isi dari pasal 2 ayat (2) huruf 0,"isi dari pasal tersebut adalah: hukum yang hidup dalam masyarakat sebagaimana dimaksud pada ayat (1) berlaku dalam tempat hukum itu hidup dan sepanjang tidak diatur dalam undang undang ini dan sesuai dengan nilai-nilai yang terkandung dalam pancasila, undang-undang dasar negara republik indonesia tahun 1945, hak asasi manusia, dan asas hukum umum yang diakui masyarakat bangsa-bangsa."
apa isi dari pasal 2 ayat (3) huruf 0,isi dari pasal tersebut adalah: ketentuan mengenai tata cara dan kriteria penetapan hukum yang hidup dalam masyarakat diatur dengan peraturan pemerintah.
apa isi dari pasal 3 ayat (1) huruf 0,"isi dari pasal tersebut adalah: dalam hal terdapat perubahan peraturan perundang undangan sesudah perbuatan terjadi, diberlakukan peraturan perundang-undangan yang baru, kecuali ketentuan peraturan perundang-undangan yang lama menguntungkan bagi pelaku dan pembantu tindak pidana."
apa isi dari pasal 3 ayat (2) huruf 0,"isi dari pasal tersebut adalah: dalam hal perbuatan yang te{adi tidak lagi merupakan tindak pidana menurut peraturan perundang undangan yang baru, proses hukum terhadap tersangka atau terdakwa harus dihentikan demi hukum."
apa isi dari pasal 3 ayat (3) huruf 0,"isi dari pasal tersebut adalah: dalam hal ketentuan sebagaimana dimaksud pada ayat (21 diterapkan bagi tersangka atau terdakwa yang berada dalam tahanan, tersangka atau terdakwa dibebaskan oleh pejabat yang berwenang sesuai dengan tingkat pemeriksaan."
apa isi dari pasal 3 ayat (4) huruf 0,"isi dari pasal tersebut adalah: dalam hal setelah putusan pemidanaan berkekuatan hukum tetap dan perbuatan yang terjadi tidak lagi merupakan tindak pidana menurut peraturan perundang-undangan yang baru, pelaksanaan putusan pemidanaan dihapuskan."
apa isi dari pasal 3 ayat (5) huruf 0,"isi dari pasal tersebut adalah: dalam hal putusan pemidanaan telah berkekuatan hukum tetap sebagaimana dimaksud pada ayat (4), instansi atau pejabat yang melaksanakan pembebasan merupakan instansi atau pejabat yang berwenang."
apa isi dari pasal 3 ayat (6) huruf 0,"isi dari pasal tersebut adalah: pembebasan sebagaimana dimaksud pada ayat (3) dan ayat (5) tidak menimbulkan hak bagi tersangka, terdakwa, atau terpidana menuntut ganti rugi."
apa isi dari pasal 3 ayat (7) huruf 0,"isi dari pasal tersebut adalah: dalam hal setelah putusan pemidanaan berkekuatan hukum tetap dan perbuatan yang terjadi diancam dengan pidana yang lebih ringan menurut peraturan perundang-undangan yang baru, pelaksanaan putusan pemidanaan disesuaikan dengan batas pidana menurut peraturan perundang-undangan yang baru"
apa isi dari pasal 4 ayat (0) huruf 0,isi dari pasal tersebut adalah: ketentuan pidana dalam undang-undang berlaku bagi setiap orang yang melakukan:
apa isi dari pasal 4 ayat (0) huruf a,isi dari pasal tersebut adalah: tindak pidana di wilayah negara kesatuan republik indonesia
apa isi dari pasal 4 ayat (0) huruf b,isi dari pasal tersebut adalah: tindak pidana di kapal indonesia atau di pesawat udara indonesia; atau
apa isi dari pasal 4 ayat (0) huruf c,isi dari pasal tersebut adalah: tindak pidana di bidang teknologi informasi atau tindak pidana lainnya yang akibatnya dialami atau terjadi di wilayah negara kesatuan republik indonesia atau di kapal indonesia dan di pesawat udara indonesia.
apa isi dari pasal 5 ayat (0) huruf 0,isi dari pasal tersebut adalah: ketentuan pidana dalam undang-undang berlaku bagi setiap orang di luar wilayah negara kesatuan republik indonesia yang melakukan tindak pidana terhadap kepentingan negara kesatuan republik indonesia yang berhubungan dengan
apa isi dari pasal 5 ayat (0) huruf a,isi dari pasal tersebut adalah: keamanan negara atau proses kehidupan ketatanegaraan;
apa isi dari pasal 5 ayat (0) huruf b,"isi dari pasal tersebut adalah: martabat presiden, wakil presiden, dan/ atau pejabat indonesia di luar negeri;"
apa isi dari pasal 5 ayat (0) huruf c,"isi dari pasal tersebut adalah: mata uang, segel, cap negara, meterai, atau surat berharga yang dikeluarkan oleh pemerintah indonesia, atau kartu kredit yang dikeluarkan oleh perbankan indonesia;"
apa isi dari pasal 5 ayat (0) huruf d,"isi dari pasal tersebut adalah: perekonomian, perdagangan, dan perbankan indonesia;"
apa isi dari pasal 5 ayat (0) huruf e,isi dari pasal tersebut adalah: keselamatan atau keamanan pelayaran dan penerbangan;
apa isi dari pasal 5 ayat (0) huruf f,"isi dari pasal tersebut adalah: keselamatan atau keamanan bangunan, peralatan, dan aset nasional atau negara indonesia;"
apa isi dari pasal 5 ayat (0) huruf g,isi dari pasal tersebut adalah: keselamatan atau keamanan sistem komunikasi elektronik;
apa isi dari pasal 5 ayat (0) huruf h,isi dari pasal tersebut adalah: kepentingan nasional indonesia sebagaimana ditetapkan dalam undang-undang; atau
apa isi dari pasal 5 ayat (0) huruf i,isi dari pasal tersebut adalah: warga negara indonesia berdasarkan perjanjian internasional dengan negara tempat terjadinya tindak pidana.
apa isi dari pasal 6 ayat (0) huruf 0,isi dari pasal tersebut adalah: ketentuan pidana dalam undang-undang berlaku bagi setiap orang yang berada di luar wilayah negara kesatuan republik indonesia yang melakukan tindak pidana menurut hukum internasional yang telah ditetapkan sebagai tindak pidana dalam undang-undang.
apa isi dari pasal 7 ayat (0) huruf 0,isi dari pasal tersebut adalah: ketentuan pidana dalam undang-undang berlaku bagi setiap orang yang melakukan tindak pidana di luar wilayah negara kesatuan republik indonesia yang penuntutannya diambil alih oleh pemerintah indonesia atas dasar suatu perjanjian internasional yang memberikan kewenangan kepada pemerintah indonesia untuk melakukan penuntutan pidana.
apa isi dari pasal 8 ayat (1) huruf 0,isi dari pasal tersebut adalah: ketentuan pidana dalam undang-undang berlaku bagi setiap warga negara indonesia yang melakukan tindak pidana di luar wilayah negara kesatuan republik indonesia.
apa isi dari pasal 8 ayat (2) huruf 0,isi dari pasal tersebut adalah: ketentuan sebagaimana dimaksud pada ayat (1) berlaku jika perbuatan tersebut juga merupakan tindak pidana di negara tempat tindak pidana dilakukan.
apa isi dari pasal 8 ayat (3) huruf 0,isi dari pasal tersebut adalah: ketentuan sebagaimana dimaksud pada ayat (1) tidak berlaku untuk tindak pidana yang diancam dengan pidana denda paling banyak kategori iii.
apa isi dari pasal 8 ayat (4) huruf 0,"isi dari pasal tersebut adalah: penuntutan terhadap tindak pidana sebagaimana dimaksud pada ayat (1) dilakukan walaupun tersangka menjadi warga negara indonesia, setelah tindak pidana tersebut dilakukan sepanjang perbuatan tersebut merupakan tindak pidana di negara tempat tindak pidana dilakukan."
apa isi dari pasal 8 ayat (5) huruf 0,isi dari pasal tersebut adalah: warga negara indonesia di luar wilayah negara kesatuan republik indonesia yang melakukan tindak pidana sebagaimana dimaksud pada ayat (1) tidak dapat dijatuhi pidana mati jika tindak pidana tersebut menurut hukum negara tempat tindak pidana tersebut dilakukan tidak diancam dengaa pidana mati.
apa isi dari pasal 9 ayat (0) huruf 0,isi dari pasal tersebut adalah: penerapan ketentuan sebagaimana dimaksud dalam pasal 4 sampai dengan pasal 8 dibatasi oleh hal yang dikecualikan menurut pejanjian internasional yang berlaku.
apa isi dari pasal 10 ayat (0) huruf 0,isi dari pasal tersebut adalah: waktu tindak pidana merupakan saat dilakukannya perbuatan yang dapat dipidana.
apa isi dari pasal 11 ayat (0) huruf 0,isi dari pasal tersebut adalah: tempat tindak pidana merupakan tempat dilakukannya perbuatan yang dapat dipidana
apa isi dari pasal 12 ayat (1) huruf 0,isi dari pasal tersebut adalah: tindak pidana merupakan perbuatan yang oleh peraturan perundang-undangan diancam dengan sanksi pidana dan/ atau tindakan.
apa isi dari pasal 12 ayat (2) huruf 0,"isi dari pasal tersebut adalah: untuk dinyatakan sebagai tindak pidana, suatu perbuatan yang diancam dengan sanksi pidana dan/atau tindakan oleh peraturan perundang undangan harus bersifat melawan hukum atau bertentangan dengan hukum yang hidup dalam masyarakat."
